Altium Designer Pick and Place Locations
D:\WorkSpace\Altium\NANORACK\LASERDIODE V1.3.0\01_DESIGN\Project Outputs for NANORACK_LASER\Pick Place for LASERDIODE_V1.3.0.csv

========================================================================================================================
File Design Information:

Date:       24/06/25
Time:       16:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"H9","HOLD","TopLayer","M3","46.5298","82.4000","0",""
"U13","OPA2192","BottomLayer","SO8","27.4319","24.7100","180","8SOIC"
"U12","OPA2192","BottomLayer","SO8","27.4320","9.6520","180","8SOIC"
"U10","INA139","BottomLayer","SOT23-5","12.5713","9.5250","180","SOT23-5"
"TP8","Test_Point","BottomLayer","TESTPOINT","8.5090","12.7687","90",""
"TP7","Test_Point","BottomLayer","TESTPOINT","8.5090","21.0342","90",""
"R39","1K 1%","BottomLayer","RES-SMD-0603","35.6820","18.9080","90","0603"
"R38","1K 1%","BottomLayer","RES-SMD-0603","33.2739","23.6534","270","0603"
"R37","100R 1%","BottomLayer","RES-SMD-0603","14.0968","18.8701","270","0603"
"R35","1K 1%","BottomLayer","RES-SMD-0603","19.9657","24.6019","90","0603"
"R34","1K 1%","BottomLayer","RES-SMD-0603","15.8189","24.6019","90","0603"
"R33","50R 1%","BottomLayer","RES-SMD-0603","17.8923","24.6019","90","0603"
"R32","1K 1%","BottomLayer","RES-SMD-0603","35.6821","3.8500","90","0603"
"R31","100R 1%","BottomLayer","RES-SMD-0603","14.0969","3.8121","270","0603"
"R30","1K 1%","BottomLayer","RES-SMD-0603","19.9658","9.5439","90","0603"
"R29","1K 1%","BottomLayer","RES-SMD-0603","15.8190","9.5439","90","0603"
"R28","50R 1%","BottomLayer","RES-SMD-0603","17.8924","9.5439","90","0603"
"R3","1K 1%","BottomLayer","RES-SMD-0603","25.0191","3.8500","90","0603"
"Q4","MMBT2907","BottomLayer","SOT23-123","18.0339","18.9181","270",""
"Q3","MMBT2907","BottomLayer","SOT23-123","18.0340","3.8601","270",""
"C47","0.22uF/25V","BottomLayer","SM-0603","12.4569","29.5889","0","0603"
"C46","0.22uF/25V","BottomLayer","SM-0603","16.7721","29.5889","0","0603"
"C45","0.22uF/25V","BottomLayer","SM-0603","12.4570","14.5309","0","0603"
"C44","0.22uF/25V","BottomLayer","SM-0603","16.7723","14.5309","0","0603"
"C43","0.22uF/25V","BottomLayer","SM-0603","29.7179","29.5889","180","0603"
"C42","0.22uF/25V","BottomLayer","SM-0603","25.4026","29.5889","180","0603"
"C22","0.22uF/25V","BottomLayer","SM-0603","33.2740","28.6469","90","0603"
"C21","470pF/50V","BottomLayer","SM-0603","21.0875","14.5309","180","0603"
"U9","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","59.4387","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U8","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","34.5440","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U7","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","42.8422","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U6","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","67.7369","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U5","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","51.1405","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"U4","ADG1414BRUZ","BottomLayer","TSSOP24","68.5265","76.0352","270","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"TP9","Test_Point","BottomLayer","TESTPOINT","61.0870","35.0520","90",""
"R1","4.7K 1%","BottomLayer","RES-SMD-0603","61.6320","32.3011","270","0603"
"J3","BYPASS/DNP","BottomLayer","BIG_CONNECTOR","75.1840","4.9290","270","DNP"
"H8","HOLD","TopLayer","M3","3.6000","25.6000","0",""
"H7","HOLD","TopLayer","M3","3.6000","36.4000","0",""
"H6","HOLD","TopLayer","M3","3.6000","81.4000","0",""
"H5","HOLD","TopLayer","M3","81.4000","81.4000","0",""
